Page,Section/Heading,Type of Issue,Description of Issue,Suggested Improvement
19,Introduction,Grammar,"Informal/ambiguous wording: 'younger generations like services with a green… focus.' 'Like' is used colloquially, making the meaning unclear.","Use a more precise verb; e.g., replace 'like' with 'prefer services with a green, eco-conscious focus'."
19,Introduction,Structure,"Stand‑alone rhetorical question 'Does Individual Climate Action Matter?' formatted like a heading but isn’t labeled as one, causing confusion.",Either integrate the question into the paragraph or format it consistently as a subsection heading.
19,Introduction,Grammar,"Incomplete sentences used as standalone statements: 'Encourage the least sustainable companies to improve… Raise the baseline. Facilitate… Build closer relationships with sustainability.' No subject, reading like fragments.",Combine into full sentences or convert to a bullet list with complete thoughts.
19,Introduction,Clarity,First‑person aside in parentheses '(I’m a Millennial)' within a formal introduction. Injects informal personal voice.,Remove or rephrase the aside in a more formal tone.
20,Introduction,Punctuation,"Comma splice: 'it’s become so commonplace, we don’t even think about it.' Two independent clauses joined incorrectly.","Split into two sentences or add a conjunction (e.g., '...commonplace that we don’t even…')."
20,Introduction,Grammar,"Verb‑tense inconsistency: 'as a foreigner living in Taiwan since 2019, I relied on AI‑based tools…' Should reflect ongoing action.",Use present perfect: 'I have relied on AI‑based tools…'.
20,Introduction,Clarity,Informal phrasing: 'doesn’t sound so much of a stretch.' Not idiomatic.,Replace with 'doesn’t sound like much of a stretch.'
20,Introduction,Punctuation,Dash misuse in 'affecting human lives - and it’s driven… - of the products…' breaks clause incorrectly.,Use commas or em dashes properly or rewrite clause without dashes.
20,Introduction,Grammar,Sentence fragment starts with 'Or': 'Or just look at the brands themselves…' Not attached to prior sentence.,Remove 'Or' or merge with preceding sentence.
25,6.1 Student Protests,Grammar,Missing preposition: 'A survey 64 climate protesters…' should read 'A survey of 64 climate protesters…'.,Insert 'of' after 'survey'.
25,6.1 Student Protests,Grammar,Missing article: 'activists are non‑homogeneous group.' Should be 'a non‑homogeneous group.',Add 'a' before 'non‑homogeneous group'.
25,6.1 Student Protests,Punctuation,Time clause not offset: '…now 7 years later activists…' needs commas.,"Add commas: '…now, seven years later, activists…'."
25,6.1 Student Protests,Punctuation,"Unnecessary comma+dash: 'missing school days, - education…' is incorrect.",Use an em dash or colon: 'missing school days — education…'.
26,6.1 Student Protests,Punctuation,"Repeated 'Meanwhile,' transitions; second instance missing comma: 'Meanwhile 2000 Taiwanese…'.",Add comma and vary transition usage.
26,6.1 Student Protests,Grammar,Misspelling: 'initative' instead of 'initiative'.,Correct spelling to 'initiative'.
26,6.1 Student Protests,APA Style,"Sentence starts with parenthetical citation: '(H.-C. Chang, 2022) goes…'.",Integrate citation in narrative: 'H.-C. Chang (2022) goes…'.
26,6.1 Student Protests,Clarity,Awkward phrasing: 'affect education to be teacher-centered.',Rephrase to 'influence education to be teacher-centered' or 'result in education being teacher-centered'.
27,6.2 Educational System,Punctuation,Redundant '% percent' in '73% percent'.,Use '73%' or '73 percent' only.
27,6.2 Educational System,Grammar,Wrong preposition: 'increase of enrollment' should be 'increase in enrollment'.,Replace 'of' with 'in'.
29,6.3 Developing Personas,Grammar,Fragment: 'High levels of technology adoption worldwide (…).' missing verb.,"Add a verb to form a sentence, e.g., 'There are high levels…'."
