Rank 2024,Name,CKPG,GICS Industry,GICS Sector,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Water Whole Universe Percentrank,Water Top Quartile Percentrank,Water Penalty,Waste Productivity,Waste Productivity Score,Waste Whole Universe Percentrank,Waste Top Quartile Percentrank,Waste Penalty,VOC Productivity,VOC Productivity Score,VOC Whole Universe Percentrank,VOC Penalty,NOX Productivity,NOX Productivity Score,NOX Whole Universe Percentrank,NOX Penalty,SOX Productivity,SOX Productivity Score,SOX Whole Universe Percentrank,SOX Penalty,PM Productivity,PM Productivity Score,PM Whole Universe Percentrank,PM Penalty,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Cash Taxes Paid Whole Universe EBITDA Percentrank,Cash Taxes Paid Top Decile Ratio Percentrank,Cash Taxes Paid Penalty,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO to average worker pay ratio,CEO Average Worker Pay Score,Retirement contributions FTE,Retirement contributions FTE Percentrank,Projected benefit obligation FTE,Projected benefit obligation FTE Percentrank,Fair value projected benefit obligation,Fair value projected benefit obligation Percentrank,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Injury Rate Percentrank,Injury Rate Top Quartile Percentrank,Injury Rate Penalty,Fatalities Per Employee Ratio,Fatalities Whole Universe Percentrank,Fatalities Penalty,Employee Turnover Ratio,Employee Turnover Score,Non male Boards Ratio,Non male Boards Score,Non male Executives Ratio,Non male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Sustainability Paylink Variable Ratio,Sustainability Paylink Variable Ratio Score,Supplier Score,Political Influence (Bonus) Score,Fines Sum,Fines Percentrank,Fines Deduction,Overall Score
1,Sims Ltd,Waste Management,Metals & Mining,Materials,Australia,"Mascot, Australia","$5,573,478,289","$4,469",95.00%,"$38,525",90.00%,,,,,,"$4,994",22.90%,93.00%,23.70%,2.50%,"$99,526,398",66.30%,0.465020576,1.00%,"$4,617,629",46.90%,66.60%,2.00%,"$91,368,497",78.60%,53.30%,0.00%,,,,2.50%,16.20%,81.50%,48.30%,,,100.00%,100.00%,100.00%,100.00%,36:1,80.00%,"$2,259",66.70%,"$8,783",100.00%,99.50%,71.40%,67.90%,0.21,66.70%,41.00%,,,0,,,19.00%,100.00%,37.50%,82.00%,30.00%,77.80%,12.50%,72.10%,0.00%,0.00%,100.00%,100.00%,9.30%,77.00%,,100%,,,,A+
2,Brambles Ltd,Furniture and general manufacturing,Commercial Services & Supplies,Industrials,Australia,"Sydney, Australia","$6,076,800,000","$11,372",57.10%,"$123,791",58.30%,,,,,,"$570,592",20.90%,53.70%,,,,,,,,,,,,,,,,,,,11.80%,27.30%,82.40%,,,100.00%,100.00%,100.00%,100.00%,61:1,66.70%,"$2,892",87.50%,"$15,179",12.50%,91.60%,73.10%,65.60%,0.32,66.70%,53.70%,,,0,,,30.00%,22.20%,36.40%,76.10%,38.50%,88.00%,18.20%,80.00%,23.10%,87.90%,100.00%,100.00%,9.30%,76.70%,54.40%,0%,,,,A
3,Vestas Wind Systems A/S,Machinery Manufacturing,Electrical Equipment,Industrials,Denmark,"Aarhus, Denmark","$22,337,564,610","$15,134",66.50%,"$141,969",59.80%,"$65,506",82.60%,30.00%,,,"$1,063,694",60.00%,64.20%,,,,,,,,,,,,,,,,,,,19.10%,65.10%,80.60%,,,100.00%,100.00%,100.00%,100.00%,70:1,19.60%,"$5,097",85.50%,,,,,64.10%,0.24,70.70%,45.00%,,,0,,,15.20%,29.60%,41.70%,86.70%,12.50%,41.00%,8.30%,61.50%,12.50%,77.70%,100.00%,100.00%,0.00%,0.00%,13.00%,100%,,,,A
4,Taiwan High Speed Rail Corp,Transit and ground transportation,Transportation Infrastructure,Industrials,Taiwan,"Taipei, Taiwan","$2,439,925,948","$1,115",56.30%,"$7,698",81.30%,,,,,,,,,,,"$355,156,615",75.00%,0.222222222,0.00%,No NOX emissions,100.00%,1.50%,0.00%,No SOX emissions,100.00%,3.40%,0.00%,"$60,998,148,696",75.00%,6.40%,0.00%,0.50%,5.30%,82.90%,,,100.00%,100.00%,100.00%,100.00%,11:1,100.00%,"$3,046",100.00%,"$13,153",50.00%,70.50%,61.50%,77.90%,0.25,100.00%,46.40%,,,0,,,4.00%,100.00%,15.40%,28.20%,14.30%,45.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,8.60%,0%,,,,A
5,Nordex SE,Machinery Manufacturing,Electrical Equipment,Industrials,Germany,"Hamburg, Germany","$8,779,591,182","$61,495",98.20%,"$160,887",65.30%,"$65,765",68.80%,18.90%,,,"$598,391",38.90%,59.00%,,,,,,,,,,,,,,,,,,,72.60%,99.50%,19.60%,,,100.00%,100.00%,100.00%,100.00%,82:1,17.40%,"$16,342",100.00%,$427,1.90%,,,75.00%,0.3,58.50%,52.00%,,,0.000109,32.20%,3.00%,30.00%,5.60%,33.30%,66.90%,0.00%,0.00%,50.00%,98.30%,33.30%,94.50%,0.00%,100.00%,6.80%,68.80%,31.20%,0%,,,,A
6,Banco do Brasil SA,Banks,Banks,Financials,Brazil,"Brasília, Brazil","$52,549,117,257","$991,089",97.90%,"$1,106,800",79.50%,"$46,570",34.70%,45.30%,,,"$164,354,666",95.30%,15.20%,,,,,,,,,,,,,,,,,,,16.70%,64.90%,97.20%,,,28.60%,100.00%,0.00%,0.00%,9:1,92.90%,"$9,054",85.30%,$651,1.00%,140.40%,87.10%,64.20%,,,,,,0.000011,92.80%,1.00%,2.70%,100.00%,50.00%,97.50%,25.70%,71.30%,25.00%,87.70%,11.40%,74.60%,100.00%,100.00%,8.30%,72.00%,48.40%,100%,,,,A-
7,Schneider Electric SE,Electrical equipment manufacturing,Electrical Equipment,Industrials,France,"Rueil-Malmaison, France","$52,699,752,045","$39,687",98.80%,"$102,400",74.80%,"$27,425",100.00%,53.80%,,,"$2,656,907",66.00%,63.50%,,,,,,,,,,,,,,,,,,,15.70%,60.20%,96.30%,68.00%,1.00%,72.00%,68.80%,80.00%,73.70%,97:1,11.10%,"$1,486",42.10%,"$76,317",100.00%,90.10%,86.70%,53.20%,0.064,66.70%,17.90%,,,0,,,16.60%,38.50%,50.00%,97.50%,41.20%,91.30%,28.60%,90.00%,35.30%,94.60%,100.00%,100.00%,4.10%,59.50%,55.90%,100%,,,,A-
8,Chr Hansen Holding A/S,Food and beverage manufacturing,Chemicals,Materials,Denmark,"Hørsholm, Denmark","$1,878,168,832","$3,094",59.30%,"$38,696",71.90%,"$1,412",68.30%,47.60%,,,"$112,776",21.80%,60.40%,,,,,,,,,,,,,,,,,,,13.60%,40.80%,62.00%,,,46.80%,100.00%,70.70%,100.00%,34:1,55.30%,"$9,437",97.80%,"$2,547",13.00%,9.80%,3.80%,73.30%,0.3,85.70%,52.00%,,,0,,,16.00%,53.00%,50.00%,97.50%,37.50%,87.80%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,9.80%,79.60%,53.90%,100%,,,,A-
9,Stantec Inc,"Business, engineering and personal services",Construction & Engineering,Industrials,Canada,"Edmonton, Canada","$4,527,868,499","$19,194",59.60%,"$118,360",35.20%,"$507,040",75.00%,4.00%,,,"$591,956",25.30%,49.10%,,,,,,,,,,,,,,,,,,,12.00%,40.40%,56.60%,,,59.00%,100.00%,59.50%,90.50%,60:1,40.00%,"$3,253",81.80%,"$11,396",64.40%,110.60%,93.20%,75.80%,0.08,51.40%,21.20%,,,0,,,15.80%,67.10%,50.00%,97.50%,42.90%,91.90%,20.00%,82.60%,28.60%,91.50%,100.00%,100.00%,8.60%,73.80%,70.00%,0%,,,,A-
10,SMA Solar Technology AG,Semiconductor and electronic components manufacturing,Semiconductors & Semiconductor Equipment,Information Technology,Germany,"Niestetal, Germany","$1,643,699,962","$33,435",72.00%,"$135,701",75.50%,,,,,,"$7,624,548",91.60%,12.70%,,,,,,,,,,,,,,,,,,,21.80%,88.60%,17.40%,,,100.00%,100.00%,100.00%,100.00%,15:1,96.30%,$623,21.40%,,,,,16.10%,,,,,,0,,,,,33.30%,66.90%,,,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,2.40%,50.40%,,0%,,,,A-
