id,name,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,pm2022,who1998,who1999,who2000,who2001,who2002,who2003,who2004,who2005,who2006,who2007,who2008,who2009,who2010,who2011,who2012,who2013,who2014,who2015,who2016,who2017,who2018,who2019,who2020,who2021,who2022,nat1998,nat1999,nat2000,nat2001,nat2002,nat2003,nat2004,nat2005,nat2006,nat2007,nat2008,nat2009,nat2010,nat2011,nat2012,nat2013,nat2014,nat2015,nat2016,nat2017,nat2018,nat2019,nat2020,nat2021,nat2022
ALA,Åland,27385,5,NA,6.76,7.14,5.9,5.31,6.18,5.94,6.13,6.53,7.05,5.51,5.99,5.5,5.93,5.03,4.9,4.73,6.24,4.14,3.93,3.48,4.59,4.32,4.23,4.97,3.97,0.17,0.21,0.09,0.03,0.12,0.09,0.11,0.15,0.2,0.05,0.1,0.05,0.09,0,0,0,0.12,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,38341695,5,35,10.7,10.43,11.85,13.84,14.62,14.27,12.44,14.12,15.22,14.07,15.61,15.13,15.74,19.08,15.19,14.33,14.58,15.01,15.39,14.72,14.49,15.78,16.03,17.2,16.98,0.56,0.53,0.67,0.87,0.94,0.91,0.73,0.89,1,0.89,1.04,0.99,1.05,1.38,1,0.91,0.94,0.98,1.02,0.95,0.93,1.06,1.08,1.2,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XAD,Akrotiri and Dhekelia,24062,5,NA,11.25,11.44,13.1,12.04,10.38,10.51,9.8,10.76,10.81,11.51,11.1,12.17,10.51,15.77,16.97,11.56,11.16,11.12,10.66,10.98,9.73,9.75,11.5,10.55,13.42,0.61,0.63,0.79,0.69,0.53,0.54,0.47,0.56,0.57,0.64,0.6,0.7,0.54,1.06,1.17,0.64,0.6,0.6,0.55,0.59,0.46,0.47,0.64,0.54,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,Albania,3087971,5,10,16,14.22,16.78,15.61,16.61,19.18,14.45,16.41,18.44,17.28,14.53,13.89,10.99,18.93,15.97,13.88,11.54,14.88,12.51,13.89,13.65,13.02,12.83,11.97,12.6,1.08,0.9,1.15,1.04,1.14,1.39,0.93,1.12,1.32,1.2,0.93,0.87,0.59,1.37,1.08,0.87,0.64,0.97,0.74,0.87,0.85,0.79,0.77,0.68,0.74,0.59,0.41,0.66,0.55,0.65,0.9,0.44,0.63,0.83,0.71,0.44,0.38,0.1,0.88,0.59,0.38,0.15,0.48,0.25,0.38,0.36,0.3,0.28,0.19,0.25
DZA,Algeria,44081508,5,NA,6.38,5.71,6.15,6.22,6.24,7.78,5.46,6.94,6.93,6.95,5.78,6.63,5.39,6.96,6.69,6.46,5.36,6.89,5.56,6.44,6.17,6.12,5.67,5.72,6.14,0.14,0.07,0.11,0.12,0.12,0.27,0.05,0.19,0.19,0.19,0.08,0.16,0.04,0.19,0.17,0.14,0.04,0.19,0.05,0.14,0.11,0.11,0.07,0.07,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASM,American Samoa,42424,5,9,0.8,0.84,1.1,1.04,1.2,1.2,1,1.5,1.2,1.4,1.1,1.3,1,0.96,1.16,1.16,1.3,1.5,1.26,1.36,1.36,1.3,1.16,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,Andorra,85550,5,25,8.71,8.3,9.32,9.92,9.97,10.74,9.72,9.93,9.59,9.78,8.48,9.21,9.67,9.17,8.42,7.85,6.95,7.94,7.01,7.52,7.78,6.56,6.76,6.89,8.72,0.36,0.32,0.42,0.48,0.49,0.56,0.46,0.48,0.45,0.47,0.34,0.41,0.46,0.41,0.34,0.28,0.19,0.29,0.2,0.25,0.27,0.15,0.17,0.19,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,34602281,5,NA,18.26,15.33,17.32,21.68,19.12,18.2,18.52,21.63,16.35,19.86,21.44,19.26,23.64,20.41,20.04,20.81,17.83,19.97,19.78,16.98,18.65,20.79,17.99,17.32,21.07,1.3,1.01,1.21,1.63,1.38,1.29,1.32,1.63,1.11,1.46,1.61,1.4,1.83,1.51,1.47,1.55,1.26,1.47,1.45,1.17,1.34,1.55,1.27,1.21,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIA,Anguilla,17147,5,NA,2.37,3.04,2.56,2.77,2.1,2.32,2.07,2.89,2.53,2.21,2.04,2.16,3.12,2,2.49,1.77,1.82,1.75,2.03,2.16,1.93,2,2.09,2.15,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,94964,5,NA,2.32,2.61,2.36,2.45,1.98,2.24,2.16,2.65,2.45,2,1.99,2.27,2.96,2.16,2.26,1.77,1.78,1.83,2.08,2.07,2.07,2.16,1.98,2.27,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
