Rank 2021,Company,Peer Group (CKIG),Peer Group Rank,Country,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,NOx Productivity,SOx Productivity,PM  Productivity,VOC Productivity Score,NOx Productivity Score,SOx Productivity Score,PM  Productivity Score,% Taxes Paid,% Taxes Paid Score,% Clean Revenues,Clean Revenue Score,% Clean Investment,Clean Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement contributions/FTE,Retirement contributions/FTE  Score,Fair value of plan assets/FTE,Fair value of plan assets/FTE  Score,Fair value/projected benefit obligation Percent,Fair value/projected benefit obligation  Score,Pension Fund Status,Lost-time Injury Rate,Lost-time Injury Rate  Score,Fatalities per FTE employee,Fatalities per FTE employee Score,Employee Turnover Rate,Employee Turnover Score,% Non-male on Board,% Non-male on Board  Score,% Non-male Senior Executives,% Non-male Senior Executives  Score,% Racial Diversity Among Boards,% Racial Diversity Among Board Score,% Racial Diversity Among Executives,% Racial Diversity Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Supplier Score,Fines deduction,Overall Score,,Energy Productivity - Weight,Carbon Productivity - Weight,Water Productivity - Weight,Waste Productivity - Weight,Injuries - Weight,Fatalities - Weight,Employee turnover - Weight,VOC Productivity - Weight,NOX Productivity - Weight,SOX Productivity - Weight,PM Productivity - Weight,Pension Fund Status - Weight,Cash taxes paid ratio - Weight,CEO-Average Worker Pay ratio - Weight,Clean Revenue - Weight,Clean Investment - Weight,Non-male on Board - Weight,Non-male in Executive Management - Weight,Racial Diversity Among Executives - Weight,Racial Diversity on Board of Directors - Weight,Paid Sick Leave,Sustainability Paylink - Weight,Supplier Score - Weight
1,Schneider Electric SE,Industrial Conglomerates,#1/53,France,"$13,989",96.00%,"$90,981",66.90%,"$15,542",87.50%,"$5,569,826",100.00%,"$60,752,252","$351,342,638","$6,616,953,024","$13,233,906,049",42.50%,68.70%,68.30%,75.00%,16.30%,56.00%,70.00%,95.80%,72.80%,95.60%,119:1,33.40%,"$1,339",40.00%,"$93,978",52.90%,85.80%,72.70%,36.40%,0.08,92.40%,0.00000745,60.00%,17.60%,18.20%,28.60%,68.50%,37.50%,89.50%,21.40%,79.90%,25.00%,90.30%,100.00%,100.00%,10.40%,0.00%,83.20%,,2%,2%,3%,2%,2%,1%,2%,3%,4%,2%,1%,2%,2%,3%,43%,8%,3%,3%,3%,3%,3%,5%,3%
2,Orsted A/S,Power Generation,#1/244,Denmark,$467,39.70%,"$5,361",63.70%,"$9,069",91.20%,"$3,824,899",62.10%,"$48,425,325","$5,527,079","$20,419,189","$167,566,998",27.20%,93.10%,75.90%,56.30%,29.30%,99.50%,62.20%,91.10%,100.00%,92.30%,21:1,35.80%,"$8,577",49.00%,No Data,0.00%,No Data,0.00%,36.80%,0.42,61.40%,0.000158,30.80%,11.60%,19.40%,33.30%,80.90%,28.60%,76.80%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,72.00%,0.00%,82.70%,,0%,3%,9%,0%,0%,0%,0%,0%,4%,13%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
3,Banco do Brasil SA,Banks and Investment Services,#1/935,Brazil,"$232,205",72.00%,"$851,966",32.50%,"$50,421",47.30%,"$335,551,194",73.10%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,30.90%,88.70%,17.90%,100.00%,5.80%,100.00%,8:1,73.30%,"$4,888",51.30%,"$1,088,642",91.00%,92.20%,48.50%,48.40%,-,100.00%,-,100.00%,4.40%,91.80%,20.00%,37.90%,75.00%,99.70%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,9.50%,1.00%,81.70%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
4,Neste Oyj,Oil & Gas,#1/347,Finland,$553,76.60%,"$7,765",70.10%,"$2,539",72.30%,"$210,167",27.50%,"$5,907,186","$15,541,052","$5,634,104","$210,510,620",55.10%,81.70%,37.10%,90.00%,9.60%,55.70%,25.80%,100.00%,50.00%,100.00%,32:1,51.90%,"$12,819",63.60%,"$102,818",57.50%,77.80%,48.30%,49.20%,0.25,63.70%,-,100.00%,7.40%,48.40%,37.50%,84.80%,30.80%,79.90%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,57.10%,0.00%,80.70%,,3%,2%,1%,0%,0%,0%,0%,6%,5%,10%,1%,1%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
5,Stantec Inc,Consulting and Professional Services,#1/23,Canada,"$5,418",20.80%,"$64,411",18.20%,No Data,0.00%,No Data,0.00%,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,2.50%,0.00%,39.70%,100.00%,39.70%,100.00%,29:1,100.00%,"$2,875",45.40%,"$19,907",44.40%,92.20%,54.50%,34.10%,0.11,100.00%,Not an appliable KPI,Not an appliable KPI,15.50%,75.00%,37.50%,84.80%,17.60%,44.20%,0.00%,0.00%,5.90%,62.00%,100.00%,100.00%,1.10%,0.00%,80.50%,,1%,1%,1%,1%,1%,0%,6%,0%,0%,0%,0%,5%,4%,10%,43%,8%,3%,3%,3%,3%,3%,5%,3%
6,McCormick & Company Inc,Packaged and Processed Food and Ingredients,#1/225,USA,"$3,957",79.30%,"$42,674",64.20%,"$2,288",63.90%,"$236,852",32.50%,"$411,338,462","$205,669,231",No Data,"$2,673,700,000",100.00%,77.80%,0.00%,100.00%,15.40%,58.50%,51.50%,95.80%,4.40%,75.00%,404:1,0.00%,$919,32.50%,"$81,677",80.60%,86.00%,58.80%,34.20%,0.3,93.20%,-,100.00%,14.00%,65.70%,36.40%,84.20%,28.60%,76.80%,27.30%,86.90%,14.30%,77.10%,100.00%,100.00%,3.30%,1.00%,79.30%,,3%,3%,10%,3%,2%,1%,2%,1%,1%,1%,1%,1%,1%,1%,43%,8%,3%,3%,3%,3%,3%,5%,3%
7,Kering SA,Clothing and Accessory Retail,#1/143,France,"$82,630",95.90%,"$756,245",60.60%,"$29,944",69.40%,"$4,488,645",56.00%,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,"$1,786,135,379",Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,100.00%,23.70%,81.20%,53.00%,100.00%,50.00%,100.00%,292:1,10.00%,$223,11.70%,"$3,921",7.10%,46.90%,21.50%,8.80%,1.01,75.00%,-,100.00%,18.80%,66.70%,53.80%,98.90%,33.30%,87.10%,15.40%,70.50%,0.00%,0.00%,100.00%,100.00%,0.00%,5.00%,78.40%,,1%,1%,1%,1%,6%,1%,7%,0%,0%,0%,3%,2%,4%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
8,Metso Outotec,Construction & Engineering Services,#1/251,Finland,"$13,781",75.50%,"$170,618",79.70%,"$27,638",90.00%,"$3,319,536",87.50%,"$226,834,939",No Data,No Data,No Data,100.00%,0.00%,0.00%,0.00%,12.60%,41.70%,45.00%,92.10%,80.60%,100.00%,8:1,58.40%,"$9,369",96.90%,No Data,0.00%,No Data,0.00%,72.70%,0.6,66.70%,-,100.00%,12.00%,45.20%,30.00%,68.80%,36.40%,89.20%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,71.30%,0.00%,78.40%,,1%,1%,1%,14%,1%,1%,1%,0%,2%,4%,1%,1%,1%,1%,43%,8%,3%,3%,3%,3%,3%,5%,3%
9,American Water Works Company Inc,Water Utilities,#1/23,USA,$748,42.50%,"$6,228",6.30%,$2,37.50%,No Data,0.00%,No Data,No Data,No Data,Not an appliable KPI,0.00%,0.00%,0.00%,Not an appliable KPI,1.30%,21.00%,100.00%,100.00%,100.00%,100.00%,47:1,50.00%,"$8,824",100.00%,"$335,147",50.00%,89.90%,58.30%,77.10%,1.13,83.40%,-,100.00%,10.70%,40.00%,45.50%,96.20%,25.00%,62.50%,18.20%,74.40%,6.30%,62.60%,100.00%,100.00%,54.70%,0.00%,77.10%,,0%,0%,29%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
10,Canadian National Railway Co,Freight,#1/65,Canada,$160,45.00%,"$2,106",56.30%,"$7,040",62.50%,"$77,707",2.10%,No Data,"$208,086","$1,249,557,080","$39,048,659",0.00%,68.70%,91.70%,100.00%,10.90%,45.60%,77.70%,87.50%,78.10%,100.00%,79:1,80.00%,"$5,902",75.00%,"$565,103",66.60%,101.60%,92.00%,70.90%,1.91,33.40%,0.0000385,66.70%,10.70%,60.00%,38.50%,88.30%,33.30%,87.10%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,49.90%,0.00%,77.10%,,1%,1%,0%,0%,0%,0%,0%,2%,23%,0%,2%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
