Rank 2022,Company,CKPG,Country,HQ,Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,VOC Productivity Score,NOx Productivity,NOx Productivity Score,SOx Productivity,SOx Productivity Score,PM Productivity,PM Productivity Score,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Clean Revenue Ratio,Clean Revenue Score,Clean Investment Ratio,Clean Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement Contributions / FTE,Fair Value of Plan Assets / FTE,Fair Value / Projected Benefit Obligation,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Fatalities Per Employee Ratio,Fatalities Per Employee Score,Employee Turnover Ratio,Employee Turnover Score,Non-male Boards Ratio,Non-male Boards Score,Non-male Executives Ratio,Non-male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Supplier Score,Fines Deduction,Overall Score
1,Vestas Wind Systems A/S,Machinery manufacturing,Denmark,Aarhus,"$21,539,244,186.00","$18,353.14",90%,"$295,058.14",95%,"$51,162.10",93%,"$500,912.66",29%,"$80,370,314.13",59%,NULL,NULL,NULL,NULL,NULL,NULL,15%,43%,100%,100%,100%,78%,3,34%,NULL,NULL,NULL,NULL,0.24,67%,0,1,12%,33%,33%,79%,29%,87%,8%,58%,0%,0%,1,1,0.781414,NULL,A+
2,Chr Hansen Holding A/S,Food and beverage manufacturing,Denmark,Horsholm,"$1,785,563,953.00","$3,557.75",80%,"$36,039.96",68%,"$1,283.92",68%,"$582,375.72",48%,"$1,822,004,034.00",88%,"$65,166,567.65",44%,"$4,463,909,884.00",86%,"$5,251,658,687.00",96%,15%,51%,84%,93%,52%,86%,36,66%,"$8,922.80","$2,341.73",68%,73%,0.55,72%,0,1,10%,66%,36%,83%,38%,95%,9%,62%,13%,76%,1,1,NULL,NULL,A
3,Autodesk Inc,IT services except telecom and hosting,United States,San Rafael,"$3,790,400,000.00","$31,627.78",49%,"$3,911,661.51",99%,NULL,NULL,"$4,622,439.02",37%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18%,76%,94%,100%,18%,50%,NULL,NULL,"$4,878.26","$9,321.74",97%,61%,0.02,84%,0,1,7%,74%,50%,99%,40%,97%,10%,67%,10%,71%,0,1,0.76561,NULL,A
4,Schneider Electric SE,Industrial Conglomerates,France,Rueil-Malmaison,"$36,568,313,953.49","$23,357.37",95%,"$127,257.88",94%,"$18,966.65",90%,"$8,284,620.29",90%,"$83,026,777.66",65%,"$384,929,620.56",77%,"$7,313,662,790.70",86%,"$12,189,437,984.50",88%,15%,53%,72%,100%,82%,75%,92,29%,"$1,219.60","$97,268.94",125%,53%,0.06,86%,0.000007,0.3225806452,7%,77%,43%,92%,44%,97%,36%,95%,44%,97%,1,1,NULL,0.025,A
5,City Developments Ltd,Real estate and leasing,Singapore,Singapore,"$2,519,027,479.00","$1,679.39",42%,"$15,306.35",35%,$732.05,34%,"$148,905.09",36%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17%,86%,82%,100%,76%,100%,14,90%,"$4,802.50","$17,282.70",98%,66%,0.15,77%,0,1,11%,57%,13%,39%,20%,77%,13%,73%,0%,0%,1,1,0.753753,0.01,A
6,American Water Works Company Inc,Water and sewage treatment,United States,Camden (U.S.),"$3,777,000,000.00",$786.28,55%,"$6,928.86",63%,$2.31,28%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1%,16%,100%,100%,100%,100%,81,34%,"$1,988.07","$361,545.02",92%,33%,0.63,69%,0,1,7%,50%,45%,95%,42%,97%,18%,82%,0%,0%,1,1,0.727157,NULL,A
7,Orsted A/S,Power generation,Denmark,Fredericia,"$7,413,303,769.00",$338.57,54%,"$3,778.44",62%,"$3,912.03",72%,"$617,775.31",49%,"$38,410,900.36",35%,"$4,680,116.02",77%,"$15,098,378.35",61%,"$132,380,424.50",69%,20%,96%,70%,80%,100%,88%,24,77%,"$8,707.94",NULL,NULL,51%,0.34,64%,0,1,8%,40%,27%,64%,33%,93%,0%,0%,0%,0%,1,1,0.712788,NULL,A-
8,Atlantica Sustainable Infrastructure PLC,Power generation,United Kingdom,Brentford (U.K.),"$1,013,260,000.00",$31.30,16%,$523.38,33%,$63.33,46%,"$109,981.55",32%,NULL,NULL,"$2,033,433.67",62%,"$1,688,766,667.00",90%,NULL,NULL,1%,8%,84%,88%,49%,56%,21,81%,NULL,NULL,NULL,NULL,0.28,70%,0,1,10%,26%,25%,61%,25%,84%,25%,90%,25%,91%,1,1,0.711321,NULL,A-
9,Dassault Systemes SE,IT services except telecom and hosting,France,Vélizy-Villacoublay,"$6,471,220,930.00","$40,428.25",71%,"$324,209.47",66%,NULL,NULL,"$32,356,104,651.00",100%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20%,80%,86%,67%,43%,75%,27,75%,"$2,930.63","$2,747.00",22%,42%,0.12,63%,0.00096,0,5%,91%,50%,99%,38%,95%,20%,84%,8%,64%,1,1,0.70819,NULL,A-
10,Brambles Ltd,Furniture and general manufacturing N.E.C.,Australia,Sydney,"$5,209,800,000.00","$9,403.92",56%,"$122,971.25",69%,"$16,002.33",72%,"$160,930.41",19%,"$1,736,600,000.00",60%,"$153,953,900.70",30%,"$3,064,588,235.00",38%,"$623,928,143.70",75%,5%,9%,68%,100%,68%,100%,79,35%,"$2,566.43","$24,253.18",90%,55%,2.1,10%,0,1,29%,0%,36%,83%,36%,93%,18%,82%,7%,63%,1,1,0.700761,NULL,A-
11,Sims Ltd,Smelters and steel making,Australia,Mascot,"$4,003,986,486.00","$2,313.18",66%,"$27,313.76",66%,"$7,644.13",72%,"$3,436.90",15%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10%,47%,100%,100%,100%,91%,38,63%,$938.92,"$15,179.23",64%,36%,0.24,81%,0,1,NULL,NULL,38%,86%,30%,88%,13%,73%,0%,0%,1,1,NULL,NULL,A-
12,Johnson Controls International PLC,HVAC equipment manufacturing,Ireland,Cork,"$22,317,000,000.00","$3,372.48",52%,"$28,642.13",38%,"$6,409.25",52%,"$1,804,998.38",79%,"$5,263,443,396.00",85%,"$140,032,628.50",34%,"$3,605,331,179.00",31%,"$1,506,887,238.00",69%,17%,37%,48%,100%,49%,100%,204,9%,"$3,401.36","$53,911.56",83%,79%,0.12,80%,0,1,23%,0%,25%,61%,9%,62%,17%,80%,18%,84%,1,1,NULL,0.025,B+
12,Kering SA,"Retail, except grocery and auto",France,Paris,"$19,040,988,372.00","$86,690.54",86%,"$915,696.28",97%,"$29,875.57",63%,"$1,424,583.90",44%,"$10,195,977.71",56%,"$25,047,340.66",38%,"$24,524,714.54",100%,"$4,533,568,660.00",56%,26%,83%,62%,100%,44%,75%,149,14%,"$4,512.82","$3,947.30",68%,70%,0.7,73%,0,1,14%,73%,62%,100%,33%,93%,15%,76%,0%,0%,1,1,NULL,0.05,B+
13,Koninklijke KPN NV,Telecom providers,Netherlands,Rotterdam,"$7,667,151,163.00","$3,157.81",34%,"$26,402.04",33%,"$91,384.40",59%,"$5,305,986.96",25%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0%,1%,93%,100%,78%,88%,29,73%,"$1,582.69","$71,796.74",111%,45%,NULL,NULL,0,1,12%,35%,36%,80%,33%,93%,0%,0%,0%,0%,1,1,NULL,0.025,B+
