Rank 2023,Name,CKPG,GICS Sector,GICS Industry,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,VOC Productivity Score,NOx Productivity,NOx Productivity Score,SOx Productivity,SOx Productivity Score,PM Productivity,PM Productivity Score,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement Contributions / FTE,Fair Value of Plan Assets / FTE,Fair Value / Projected Benefit Obligation,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Fatalities Per Employee Ratio,Fatalities Per Employee Score,Employee Turnover Ratio,Employee Turnover Score,Non-male Boards Ratio,Non-male Boards Score,Non-male Executives Ratio,Non-male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink,Sustainability Pay Link Ratio,Sustainability Pay Link Score,Supplier Score,Political Influence #1,Political Influence #2,Political Influence #3,Fines Deduction,Overall Score
1,Schnitzer Steel Industries Inc,Smelters and steel making,Materials,Metals & Mining,USA,"Portland, USA","$2,758,551,000.00",$992.50,76.20%,"$15,928",75.80%,"$2,204.80",81.00%,"$150,485.60",61.50%,,,,,"$36,296,723.70",64.40%,,,4%,9%,100%,100%,100%,100.00%,104,17.20%,"$3,157.60","$7,578.10",109.10%,56.30%,0.3,75.00%,0,100.00%,,,50%,95.80%,14.30%,29.80%,12.50%,69.60%,14.30%,75.30%,1,1,11.40%,66.70%,38.00%,No,No,Yes,2.50%,A+
2,Vestas Wind Systems A/S,Machinery Manufacturing,Industrials,Electrical Equipment,Denmark,"Aarhus, Denmark","$22,655,523,255.80","$13,831.20",71.00%,"$222,113",87.90%,,,,,"$110,514,747.60",55.60%,,,,,,,15%,35%,100%,100%,100%,100.00%,71,49.30%,"$4,198.40",,,63.00%,0.2,92.70%,0,100.00%,13.50%,37.50%,42%,77.00%,12.50%,25.60%,8.30%,56.20%,12.50%,71.90%,1,1,0.00%,0.00%,,Yes,Yes,Yes,,A
3,Brambles Ltd,Furniture and general manufacturing N.E.C.,Industrials,Commercial Services & Supplies,Australia,"Sydney, Australia","$5,558,900,000.00","$7,197.70",41.30%,"$156,386",96.40%,,,,,,,,,,,,,13%,33%,100%,100%,100%,100.00%,73,71.40%,"$2,901.80","$18,164.90",99.00%,63.40%,,,,,,,40%,74.20%,35.70%,81.90%,10.00%,62.30%,7.10%,61.70%,1,1,6.70%,50.40%,63.40%,Yes,No,Yes,,A
4,Brookfield Renewable Partners LP,Power Generation,Utilities,Independent Power and Renewable Electricity Producers,Bermuda,"Hamilton, Bermuda","$4,071,000,000.00",$508.40,48.20%,"$21,806",86.40%,$668.80,62.60%,,,,,"$496,463,414.60",75.50%,"$20,355,000,000.00",75.60%,,,4%,30%,99%,97%,100%,97.70%,,0.00%,,,,0.00%,,,0.00031,8.20%,,,33%,56.50%,28.00%,67.20%,11.10%,66.20%,24.00%,86.10%,0,1,,,,,,,,A
5,Autodesk Inc,IT services except telecom and hosting,Information Technology,Software,USA,"San Francisco, USA","$4,386,400,000.00","$52,746.50",71.10%,"$456,489",46.90%,,,,,,,,,,,,,27%,84%,93%,99%,43%,100.00%,,,"$5,089.40","$9,146.30",105.40%,64.20%,,,,,14.00%,51.30%,45%,87.50%,54.50%,98.00%,9.10%,58.40%,9.10%,65.50%,1,0,,,,Yes,Yes,,,A
6,Evoqua Water Technologies Corp,Machinery Manufacturing,Industrials,Machinery,USA,"Pittsburgh, USA","$1,464,429,000.00","$1,720.60",14.50%,"$25,868",13.20%,,,,,No VOC Emissions,75.00%,,,,40.80%,,,4%,4%,100%,100%,100%,100.00%,792,41.80%,,"$7,159.50",62.20%,0.00%,0.3,82.90%,0,100.00%,,,33%,56.50%,0.00%,0.00%,33.30%,93.00%,12.50%,71.90%,0,1,10.00%,64.60%,,,,Yes,,A
7,Stantec Inc,Engineering construction,Industrials,Professional Services,Canada,"Edmonton, Canada","$3,679,099,678.50","$14,130.90",92.20%,"$95,950",74.50%,,,"$6,131,832.80",70.00%,,,,,,,,,12%,22%,53%,88%,94%,100.00%,50,31.30%,"$2,805.60","$20,336.00",95.60%,42.30%,,,,,,,33%,56.50%,42.90%,91.90%,0.00%,0.00%,28.60%,90.30%,1,1,34.80%,98.40%,77.10%,Yes,No,No,,A-
7,Schneider Electric SE,Industrial Conglomerates,Industrials,Electrical Equipment,France,"Rueil-Malmaison, France","$42,013,081,395.30","$25,903.90",96.10%,"$142,877",90.00%,,,"$7,302,812.70",87.30%,,,,,,,,,15%,38%,71%,100%,68%,100.00%,106,32.00%,"$1,539.70","$98,054.80",91.50%,42.20%,,,,,18.10%,31.60%,50%,95.70%,43.80%,92.30%,28.60%,88.50%,31.30%,92.00%,1,1,17.40%,81.10%,18.40%,Yes,Yes,Yes,1.00%,A-
8,Siemens Gamesa Renewable Energy SA,Machinery manufacturing,Industrials,Electrical Equipment,Spain,"Zamudio, Spain ","$14,822,409,883.70","$30,810.30",96.50%,"$514,578",97.50%,"$26,789.10",76.00%,"$1,119,010.30",38.60%,"$66,171,472.70",39.90%,,,,,,,24%,78%,100%,95%,100%,97.40%,28,63.00%,"$15,095.30","$3,164.30",,75.00%,7.2,2.20%,0.00019,1.80%,7.70%,74.50%,30%,40.60%,11.10%,20.60%,0.00%,0.00%,0.00%,0.00%,1,1,9.90%,60.30%,53.30%,Yes,Yes,Yes,,A-
9,Taiwan High Speed Rail Corp,Transit and ground transportation,Industrials,Transportation Infrastructure,Taiwan,"Taipei City, Taiwan","$1,986,194,033.80",$979.90,83.30%,"$7,051",81.30%,,,,,,,,,,,,,1%,14%,100%,100%,100%,90.00%,,,"$2,778.90","$8,554.40",67.90%,65.00%,1.1,100.00%,0,100.00%,,,23%,23.10%,16.70%,36.20%,0.00%,0.00%,0.00%,0.00%,0,0,,,,,,,,A-
