year,district,value1,percentage1,value2,percentage2,population,value3,frequency
108,總計,"276,933",100.00%,"-4,369",-1.55%,"23,603,121",117.33,758.72
108,連江縣,4,0.00%,2,100.00%,"13,089",3.06,0.01
108,金門縣,295,0.11%,-14,-4.53%,"140,185",21.04,0.81
108,嘉義市,"5,358",1.93%,225,4.38%,"267,690",200.16,14.68
108,新竹市,"3,644",1.32%,-424,-10.42%,"448,803",81.19,9.98
108,基隆市,"1,843",0.67%,-151,-7.57%,"368,893",49.96,5.05
108,澎湖縣,532,0.19%,90,20.36%,"105,207",50.57,1.46
108,花蓮縣,"2,059",0.74%,69,3.47%,"326,247",63.11,5.64
108,臺東縣,"1,722",0.62%,-67,-3.75%,"216,781",79.44,4.72
108,屏東縣,"9,803",3.54%,"1,430",17.08%,"819,184",119.67,26.86
108,嘉義縣,"4,224",1.53%,472,12.58%,"503,113",83.96,11.57
108,雲林縣,"5,504",1.99%,309,5.95%,"681,306",80.79,15.08
108,南投縣,"2,715",0.98%,-499,-15.53%,"494,112",54.95,7.44
108,彰化縣,"9,189",3.32%,"-2,009",-17.94%,"1,272,802",72.2,25.18
108,苗栗縣,"3,930",1.42%,154,4.08%,"545,459",72.05,10.77
108,新竹縣,"2,074",0.75%,-505,-19.58%,"563,933",36.78,5.68
108,宜蘭縣,"5,277",1.91%,79,1.52%,"454,178",116.19,14.46
108,高雄市,"27,737",10.02%,-766,-2.69%,"2,773,198",100.02,75.99
108,臺南市,"21,547",7.78%,150,0.70%,"1,880,906",114.56,59.03
108,臺中市,"50,475",18.23%,"2,193",4.54%,"2,815,261",179.29,138.29
108,桃園市,"11,468",4.14%,"-2,255",-16.43%,"2,249,037",50.99,31.42
108,臺北市,"52,779",19.06%,"-2,311",-4.19%,"2,645,041",199.54,144.6
108,新北市,"54,754",19.77%,-541,-0.98%,"4,018,696",136.25,150.01
109,總計,"279,622",100.00%,"2,689",0.97%,"23,561,236",118.68,763.99
109,連江縣,10,0.00%,6,150.00%,"13,279",7.53,0.03
109,金門縣,380,0.14%,85,28.81%,"140,597",27.03,1.04
109,嘉義市,"5,758",2.06%,400,7.47%,"266,005",216.46,15.73
109,新竹市,"3,978",1.42%,334,9.17%,"451,412",88.12,10.87
109,基隆市,"1,738",0.62%,-105,-5.70%,"367,577",47.28,4.75
109,澎湖縣,573,0.20%,41,7.71%,"105,952",54.08,1.57
109,花蓮縣,"1,811",0.65%,-248,-12.04%,"324,372",55.83,4.95
109,臺東縣,"1,849",0.66%,127,7.38%,"215,261",85.9,5.05
109,屏東縣,"12,361",4.42%,"2,558",26.09%,"812,658",152.11,33.77
109,嘉義縣,"4,522",1.62%,298,7.05%,"499,481",90.53,12.36
109,雲林縣,"6,539",2.34%,"1,035",18.80%,"676,873",96.61,17.87
109,南投縣,"2,590",0.93%,-125,-4.60%,"490,832",52.77,7.08
