Submission ID,Submitted at,選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2023年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳有加入過什麼學生社團嗎？（選填）,你/妳最擔心什麼？（任何問題都可以，選填）,啟發你/妳的是？（什麼都可以，選填）,你/妳的MBTI？（選填）
OA4NdR,2023-10-14 08:59:10,狗,國立清華大學 National Tsing Hua University (NTHU),學士,運動科學,我還在就讀！,我是台灣人啊 🇹🇼！,18,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,4,4,3,勝利,4,3,3,1,沒有,,4,2,2,2,3,沒有,無,股市基金。年化回報 5-15%,3,4,2,3,3,3,3,3,"助手, 幫手, 老師, 朋友, 導師, 夥伴, 教練",,4,聊天,4,4,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,3,朋友,4,3,公車,3,沒有,3,投資前查看AI摘要的消費者對公司環保的評論,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,每月49台幣,4,2,4,4,無,,,,
VZPeMJ,2023-10-15 05:30:06,小粉豬,東吳大學 Soochow University (SCU),學士,財務工程與精算數學系,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,2,4,里仁,4,1,5,5,沒有,,4,4,3,5,3,沒有,沒有,ESG環保投資基金。年化回報 2-7%,2,3,4,2,2,3,1,3,"朋友, 夥伴, 助手, 幫手, 教練, 老師, 導師",,3,輕鬆地溝通,5,5,5,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,4,規定,4,2,"走路, 摩托車, 腳踏車, 公車, 捷運",0,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,False,False,False,False,True,False,False,False,False,False,False,False,False,,每月49台幣,3,3,4,4,沒有想法,,氣候變得不分明,,
zKMV58,2023-10-15 06:52:36,貓,經國管理暨健康學院 Ching Kuo Institute of Management and Health (CKIMH),學士,護理,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,4,有,4,3,4,3,沒有,,3,4,3,4,2,沒有,無,股市基金。年化回報 5-15%,3,4,4,3,3,4,1,3,"助手, 幫手, 老師, 朋友, 夥伴, 教練, 導師",,3,很少和Ai溝通,4,4,3,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,身邊的人,4,3,"公車, 客運, 汽車",2,沒有,3,"跟我的AI幫手討論環保問題, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論",True,False,False,True,False,True,False,False,True,False,False,True,False,False,,每月299台幣,4,4,4,4,提供有效方案，以及大眾可接受的新穎提議,無,核電廠爆掉,？,INTJ
aB22jX,2023-10-15 11:41:25,烏龜,東海大學 Tunghai University (THU),學士,美術,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,3,Net,4,5,3,5,沒有,,4,5,3,3,1,沒有,無,政府債券。年化回報 2-3%,2,3,4,3,3,4,2,2,"朋友, 夥伴, 助手, 幫手, 老師, 導師, 教練",,1,喜歡把問句重複修改到他的回答變得比較不像機器人為止,3,4,3,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,2,不知道,3,2,公車,0,沒有,4,跟我的AI幫手討論環保問題,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,如果免費的話我會用它,2,2,3,3,不知道,無,電費,,INTP
1r9lRM,2023-10-15 13:02:37,松鼠,"國立雲林科技大學 National Yunlin University of Science and Technology (YunTech, NYUST)",學士,國際管理學士學程,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,4,2,3,有 ,4,5,1,5,有,黑心油,4,3,3,3,3,沒有,無,ESG環保投資基金。年化回報 2-7%,4,4,2,3,2,2,2,3,"助手, 幫手, 夥伴, 朋友, 教練, 導師, 老師",,2,訊息 或聲音,3,5,4,3,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",2,4,新聞,4,3,腳踏車,0,沒有,3,每個月查看我自己的環保分數報告（了解我用錢的方式多環保）,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,如果免費的話我會用它,3,3,4,4,做報告分析,羽毛球 ,,,ENFJ
BGxMaQ,2023-10-16 01:58:04,燕子,國立成功大學 National Cheng Kung University (NCKU),碩士,生命科學,我還在就讀！,我是台灣人啊 🇹🇼！,25,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,1,3,無,4,3,4,3,有,食安問題,2,3,4,3,2,沒有,無,股市基金。年化回報 5-15%,1,3,4,2,3,5,3,3,"助手, 幫手, 老師, 教練, 導師, 夥伴, 朋友",,2,提出問題希望他幫助整理,4,4,3,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,3,社會價值觀,4,3,機車,0,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,True,True,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,2,4,4,4,改變消費行為,,,,ENFP
RzDOJ9,2023-10-16 02:14:04,狼,國立成功大學 National Cheng Kung University (NCKU),學士,機械工程學系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,2,4,通常有食品認證標章、無重大違規即可,5,3,2,1,沒有,,3,2,4,3,2,沒有,無,股市基金。年化回報 5-15%,3,4,2,5,3,4,3,3,"助手, 幫手, 夥伴, 導師, 老師, 教練, 朋友",,2,問他語言問題,5,5,5,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",5,3,氣候變遷,5,5,腳踏車,6,沒有,4,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,如果免費的話我會用它,1,1,5,3,消費頻率,成大山協,氣候失控、地緣政治風險,戰爭、氣候,不知道
42KeMB,2023-10-16 02:16:58,狐狸,國立成功大學 National Cheng Kung University (NCKU),學士,資訊工程系,我還在就讀！,我是台灣人啊 🇹🇼！,20,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2,2,3,應該有,3,3,3,2,沒有,,4,3,4,4,3,沒有,0,ESG環保投資基金。年化回報 2-7%,2,4,3,2,2,4,2,2,"助手, 幫手, 夥伴, 教練, 老師, 導師, 朋友",,2,單純提問,5,4,4,4,"珊瑚礁, 濕地, 草原, 熱帶雨林, 沙漠",4,3,環保人士,3,2,"腳踏車, 機車",0,沒有,2,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,如果免費的話我會用它,3,2,4,3,沒有,,,,
PAzab0,2023-10-16 02:33:40,貓,國立成功大學 National Cheng Kung University (NCKU),學士,電機工程學系,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,2,4,目前沒有,5,4,4,3,有,食安問題,5,3,4,5,3,沒有,無,股市基金。年化回報 5-15%,4,4,5,2,3,4,3,3,"導師, 助手, 老師, 幫手, 教練, 朋友, 夥伴",,3,對話,5,5,5,4,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2,4,新聞媒體,5,5,"腳踏車, 公車, 摩托車, 汽車",2,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司工人的員工福利多好, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 買東西先了解我吃的動物性食品，動物的生活環境",True,True,True,False,False,True,False,True,False,True,False,True,False,True,,如果免費的話我會用它,4,5,5,3,持續輸入新血，營造環保新環境,攝影,塑膠微粒,新聞媒體,
5dZyP6,2023-10-16 02:48:33,海豚,國立成功大學 National Cheng Kung University (NCKU),博士,工業設計所,我還在就讀！,我是台灣人啊 🇹🇼！,25,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,3,2,3,綠藤生機,5,4,3,2,沒有,,4,4,3,4,3,有,3年,股市基金。年化回報 5-15%,5,4,3,4,5,4,1,1,"助手, 夥伴, 幫手, 朋友, 老師, 導師, 教練",,3,還好,5,4,4,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,4,朋友,4,3,"火車, 走路",1,沒有,2,"買東西先尋找有機產品, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司生產過程多環保, 買東西先查看產品的運輸距離（是不是當地食品）, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現",True,True,False,False,False,True,True,True,False,True,False,False,False,True,,每月99台幣,4,5,5,3,社群,系學會、攝影社，衛保義工,,人跟人之間的對談,ENFJ
